node,degree
imgt:MOA_1368_oncology_blocking,8
imgt:MOA_453_oncology_blocking,8
imgt:MOA_512_oncology_blocking,8
imgt:MOA_528_oncology_blocking,8
imgt:MOA_801_oncology_agonist,8
imgt:MOA_811_oncology_agonist,8
imgt:Malignant_melanoma,8
imgt:Merck_KgaA,8
imgt:National_Cancer_Institute,8
imgt:Ophthalmology,8
imgt:Product_Akeso_Biopharma_Inc_1124,8
imgt:Product_Amgen_249,8
imgt:Product_Apexigen_Inc_1088,8
imgt:Product_AstraZeneca_528,8
imgt:Product_Bristol-Myers_Squibb_781,8
imgt:Product_Celgene_corporation_874,8
imgt:Product_Daiichi_Sankyo_Inc_722,8
imgt:Product_Gilead_430,8
imgt:Product_Juno_Therapeutics_874,8
imgt:Product_Kymab_1120,8
imgt:Product_MedImmune_528,8
imgt:Product_PDL_(Protein_Design_Labs)_BioPharma_100,8
imgt:Product_Pfizer_512,8
imgt:Product_YM_BioSciences_Inc_76,8
imgt:Pseudomonas_aeruginosa,8
imgt:RPI,8
imgt:Soft-tissue_sarcoma_(STS),8
imgt:Xencor_Inc,8
imgt:_CHO-S,8
imgt:biparatopic,8
imgt:exotoxin_A,8
imgt:mAb_1003,8
imgt:mAb_101,8
imgt:mAb_1024,8
imgt:mAb_1077,8
imgt:mAb_1081,8
imgt:mAb_1124,8
imgt:mAb_1152,8
imgt:mAb_1171,8
imgt:mAb_1189,8
imgt:mAb_1196,8
imgt:mAb_122,8
imgt:mAb_1224,8
imgt:mAb_1225,8
imgt:mAb_1227,8
imgt:mAb_1243,8
imgt:mAb_1258,8
imgt:mAb_1260,8
imgt:mAb_1317,8
imgt:mAb_133,8
imgt:mAb_1365,8
imgt:mAb_1368,8
imgt:mAb_138,8
imgt:mAb_1477,8
imgt:mAb_176,8
imgt:mAb_213,8
imgt:mAb_232,8
imgt:mAb_297,8
imgt:mAb_344,8
imgt:mAb_357,8
imgt:mAb_405,8
imgt:mAb_512,8
imgt:mAb_539,8
imgt:mAb_795,8
imgt:mAb_846,8
imgt:mAb_859,8
imgt:mAb_913,8
imgt:mAb_963,8
HGNC:11892,7
HGNC:1643,7
HGNC:1666,7
HGNC:5423,7
HGNC:6008,7
HGNC:9662,7
imgt:Adenocarcinoma_gastric,7
imgt:Boehringer_Ingelheim_Pharmaceuticals,7
imgt:Cancers_esophageal_metastatic,7
imgt:Carcinoma_esophageal,7
imgt:Construct_1048,7
imgt:Construct_1098,7
imgt:Construct_1115,7
imgt:Construct_1118,7
imgt:Construct_1124,7
imgt:Construct_1196,7
imgt:Construct_1227,7
imgt:Construct_1258,7
imgt:Construct_1260,7
imgt:Construct_1293,7
imgt:Construct_1379,7
imgt:Construct_1380,7
imgt:Construct_213,7
imgt:Construct_331,7
imgt:Construct_388,7
imgt:Construct_475,7
imgt:Construct_530,7
imgt:Construct_545,7
imgt:Construct_546,7
imgt:Construct_611,7
imgt:Construct_634,7
imgt:Construct_704,7
imgt:Construct_732,7
imgt:Construct_798,7
imgt:Construct_818,7
imgt:Construct_820,7
imgt:Construct_825,7
imgt:Construct_870,7
imgt:Construct_926,7
imgt:Construct_935,7
imgt:Construct_997,7
imgt:Hematologic_malignancies,7
imgt:Hepatocellular_carcinoma_(HCC)_metastatic,7
imgt:Innovent_Biologics,7
imgt:Janssen_Biotech_Inc,7
imgt:MOA_1009_oncology_blocking,7
imgt:MOA_1010_oncology_agonist,7
imgt:MOA_1011_immunology_blocking,7
imgt:MOA_1017_oncology_blocking,7
imgt:MOA_1071_oncology_blocking,7
imgt:MOA_1077_oncology_blocking,7
imgt:MOA_1082_oncology_blocking,7
imgt:MOA_1093_oncology_blocking,7
imgt:MOA_1142_oncology_blocking,7
imgt:MOA_1211_oncology_blocking,7
imgt:MOA_176_oncology_blocking,7
imgt:MOA_194_immunology_blocking,7
imgt:MOA_232_oncology_agonist,7
imgt:MOA_372_immunology_blocking,7
imgt:MOA_424_oncology_blocking,7
imgt:MOA_472_oncology_blocking,7
imgt:MOA_526_oncology_blocking,7
imgt:MOA_539_immunology_blocking,7
imgt:MOA_659_oncology_blocking,7
imgt:MOA_757_oncology_blocking,7
imgt:MOA_761_oncology_blocking,7
imgt:MOA_781_oncology_blocking,7
imgt:MOA_809_oncology_blocking,7
imgt:MOA_845_oncology_blocking,7
imgt:MOA_846_oncology_blocking,7
imgt:MOA_849_oncology_blocking,7
imgt:MOA_859_oncology_blocking,7
imgt:MOA_863_oncology_blocking,7
imgt:MOA_882_immunology_blocking,7
imgt:MOA_912_oncology_blocking,7
imgt:MOA_918_oncology_blocking,7
imgt:MOA_934_oncology_blocking,7
imgt:MOA_948_oncology_blocking,7
imgt:MOA_950_oncology_blocking,7
imgt:MOA_955_oncology_blocking,7
imgt:MOA_957_oncology_blocking,7
imgt:MOA_963_oncology_blocking,7
imgt:MOA_969_oncology_blocking,7
imgt:MOA_970_oncology_blocking,7
imgt:MOA_999_oncology_blocking,7
imgt:Neuroblastoma,7
imgt:Pemphigus_vulgaris_(PV),7
imgt:Product_ALX_Oncology_Inc_1293,7
imgt:Product_Acceleron_Pharma_Inc_331,7
imgt:Product_Akeso_Biopharma_Inc_1093,7
imgt:Product_Apogenix_GmbH_530,7
imgt:Product_Arcus_Biosciences_Inc_1356,7
imgt:Product_Biogen_Inc_238,7
imgt:Product_Bristol-Myers_Squibb_180,7
imgt:Product_Celgene_corporation_331,7
imgt:Product_Chiron_Corporation_671,7
imgt:Product_Eli_Lilly_385,7
imgt:Product_Genentech_Inc_238,7
imgt:Product_Genentech_Inc_80,7
imgt:Product_Genmab_A/S_228,7
imgt:Product_IGM_Biosciences_Inc_1257,7
imgt:Product_Leap_Therapeutics_1187,7
imgt:Product_Lyvgen_Biopharma_1366,7
imgt:Product_MD_Anderson_Cancer_Center_1366,7
imgt:Product_MacroGenics_Inc_1289,7
imgt:Product_Medarex_180,7
imgt:Product_Peregrine_Pharmaceuticals_Inc_149,7
imgt:Product_Pfizer_1379,7
imgt:Product_Regeneron_Pharmaceuticals_Inc_846,7
imgt:Product_Roche_F_Hoffmann-La_Roche_Ltd_238,7
imgt:Product_Roche_F_Hoffmann-La_Roche_Ltd_80,7
imgt:Product_Shanghai_Junshi_Biosciences_Co_Ltd_863,7
imgt:Product_TCR2_Therapeutics_Inc_1101,7
imgt:StudyProduct_GlaxoSmithKline_Multiple_myeloma_(MM)_784,7
imgt:mAb_1009,7
imgt:mAb_1014,7
imgt:mAb_1017,7
imgt:mAb_1032,7
imgt:mAb_1055,7
imgt:mAb_1056,7
imgt:mAb_1057,7
imgt:mAb_1058,7
imgt:mAb_1071,7
imgt:mAb_1073,7
imgt:mAb_1074,7
imgt:mAb_1075,7
imgt:mAb_1082,7
