relation,id
http://purl.org/dc/elements/1.1/title,71
https://www.imgt.org/imgt-ontology#isBibliographicReferenceOf,72
https://www.imgt.org/imgt-ontology#hasImgtStructure,73
https://www.imgt.org/imgt-ontology#construction_detail,74
https://www.imgt.org/imgt-ontology#isImgtStructureOf,75
https://www.imgt.org/imgt-ontology#clinical_trials,76
https://www.imgt.org/imgt-ontology#isConjugatedWith,77
https://www.imgt.org/imgt-ontology#has_label_code,78
https://www.imgt.org/imgt-ontology#produces,79
https://www.imgt.org/imgt-ontology#imgt_note,80
https://www.imgt.org/imgt-ontology#isOriginCloneOf,81
https://www.imgt.org/imgt-ontology#isFusedWith,82
https://www.imgt.org/imgt-ontology#via_a,83
http://www.bioassayontology.org/bao#BAO_0000196,84
http://purl.obolibrary.org/obo/RO_0000056,85
http://purl.obolibrary.org/obo/RO_0002461,86
https://www.imgt.org/imgt-ontology#conjugation_at,87
https://www.imgt.org/imgt-ontology#clone_name,88
https://www.imgt.org/imgt-ontology#hasChainTypeLevel,89
http://purl.org/dc/elements/1.1/identifier,90
https://www.imgt.org/imgt-ontology#defines,91
https://www.imgt.org/imgt-ontology#atc_link,92
https://www.imgt.org/imgt-ontology#centerwatch_link,93
https://www.imgt.org/imgt-ontology#hasBiosimilar,94
https://www.imgt.org/imgt-ontology#isRadiolabeledWith,95
http://protege.stanford.edu/plugins/owl/protege#subclassesDisjoint,96
http://www.w3.org/2002/07/owl#disjointWith,97
https://www.imgt.org/imgt-ontology#hasConfigurationType,98
https://www.imgt.org/imgt-ontology#hasMoleculeType,99
https://www.imgt.org/imgt-ontology#hasMoleculeUnit,100
http://www.w3.org/2002/07/owl#sameAs,101
http://www.w3.org/2004/02/skos/core#example,102
https://www.imgt.org/imgt-ontology#nci_drug_dictionary_link,103
https://www.imgt.org/imgt-ontology#isBiosimilarOf,104
https://www.imgt.org/imgt-ontology#kyowa_hakko_kirin_link,105
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,106
https://www.imgt.org/imgt-ontology#Taxonomy_ID,107
https://www.imgt.org/imgt-ontology#hasTaxonRank,108
http://www.w3.org/2002/07/owl#members,109
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,110
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,111
http://purl.org/dc/elements/1.1/creator,112
http://www.w3.org/2002/07/owl#imports,113
http://www.w3.org/2002/07/owl#versionInfo,114
