mAb,Target,Indication
mAb_1104,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1105,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1106,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1107,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1108,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1109,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_111,"idiotope_of_anti-(Homo_sapiens_cancerantigen_125,_CA_125,_MUC-16)_Mus_musculus_monoclonal_antibodyOC125",Cancers_ovarian
mAb_1110,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1111,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1112,!/hgnc_id/HGNC:485,Solid_tumors
mAb_1112,!/hgnc_id/HGNC:485,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1113,!/hgnc_id/HGNC:13700,Colitis_ulcerative_(UC)
mAb_1113,!/hgnc_id/HGNC:13700,Crohns_disease_(CD)
mAb_1114,?term=EBOV,Ebola_virus_infection
mAb_1115,!/hgnc_id/HGNC:3430,Cancers_breast
mAb_1116,!/hgnc_id/HGNC:11935,Sjögrens_syndrome_(SjS)
mAb_1116,!/hgnc_id/HGNC:11935,Rheumatoid_arthritis_(RA)
mAb_1117,!/hgnc_id/HGNC:20001,Hypercholesterolemia
mAb_1118,!/hgnc_id/HGNC:6008,Solid_tumors
mAb_1119,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_1119,!/hgnc_id/HGNC:11924,Solid_tumors
mAb_112,!/hgnc_id/HGNC:1116,Graft-versus-host_disease_(GvHD)
mAb_112,!/hgnc_id/HGNC:1116,Allograft_rejection
mAb_1120,!/hgnc_id/HGNC:5351,Cancers_gastric
mAb_1120,!/hgnc_id/HGNC:5351,Cancers_non-small_cell_lung_(NSCLC)
mAb_1120,!/hgnc_id/HGNC:5351,Melanoma
mAb_1120,!/hgnc_id/HGNC:5351,Hepatocellular_carcinoma_(HCC)
mAb_1120,!/hgnc_id/HGNC:5351,Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)
mAb_1120,!/hgnc_id/HGNC:5351,Cancers_esophageal
mAb_1121,!/hgnc_id/HGNC:11934,Atopic_dermatitis_(AD)
mAb_1122,!/hgnc_id/HGNC:3430,Cancers_gastric
mAb_1122,!/hgnc_id/HGNC:3430,Cancers_breast
mAb_1123,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_1124,!/hgnc_id/HGNC:8760,Cancers_non-small_cell_lung_(NSCLC)
mAb_1124,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1124,!/hgnc_id/HGNC:8760,Adenocarcinoma_gastric
mAb_1124,!/hgnc_id/HGNC:8760,Hepatocellular_carcinoma_(HCC)
mAb_1124,!/hgnc_id/HGNC:8760,Peripheral_T/NK_cell_lymphoma
mAb_1124,!/hgnc_id/HGNC:8760,Carcinoma_nasopharyngeal_(NC)
mAb_1124,!/hgnc_id/HGNC:2505,Cancers_non-small_cell_lung_(NSCLC)
mAb_1124,!/hgnc_id/HGNC:2505,Solid_tumors
mAb_1124,!/hgnc_id/HGNC:2505,Adenocarcinoma_gastric
mAb_1124,!/hgnc_id/HGNC:2505,Hepatocellular_carcinoma_(HCC)
mAb_1124,!/hgnc_id/HGNC:2505,Peripheral_T/NK_cell_lymphoma
mAb_1124,!/hgnc_id/HGNC:2505,Carcinoma_nasopharyngeal_(NC)
mAb_1125,!/hgnc_id/HGNC:26838,Solid_tumors
mAb_1126,!/hgnc_id/HGNC:5970,Psoriasis
mAb_1127,!/hgnc_id/HGNC:17635,Cancers_non-small_cell_lung_(NSCLC)_metastatic
mAb_1127,!/hgnc_id/HGNC:17635,Carcinoma_esophageal
mAb_1127,!/hgnc_id/HGNC:17635,Cancers_breast_triple_negative_(TNBC)
mAb_1127,!/hgnc_id/HGNC:2505,Cancers_non-small_cell_lung_(NSCLC)_metastatic
mAb_1127,!/hgnc_id/HGNC:2505,Carcinoma_esophageal
mAb_1127,!/hgnc_id/HGNC:2505,Cancers_breast_triple_negative_(TNBC)
mAb_1128,!/hgnc_id/HGNC:8760,Hepatocellular_carcinoma_(HCC)
mAb_1128,!/hgnc_id/HGNC:8760,Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)
mAb_1129,!/hgnc_id/HGNC:5999,Localized_pustular_psoriasis_(palmoplantar_pustulosis)
mAb_1129,!/hgnc_id/HGNC:5999,Generalized_pustular_psoriasis
mAb_113,!/hgnc_id/HGNC:1817,Cancers_colorectal_(CRC)
mAb_1130,!/hgnc_id/HGNC:11186,Frontotemporal_Dementia
mAb_1131,!/hgnc_id/HGNC:1682,Solid_tumors
mAb_1131,!/hgnc_id/HGNC:1682,Lymphoma
mAb_1132,!/hgnc_id/HGNC:11892,Dry_eye_(DE)_syndrome
mAb_1133,!/hgnc_id/HGNC:5465,
mAb_1134,!/hgnc_id/HGNC:5465,Solid_tumors
mAb_1135,!/hgnc_id/HGNC:6024,Autoimmune_diseases
mAb_1136,!/hgnc_id/HGNC:6554,Lipodystrophy
mAb_1137,!/hgnc_id/HGNC:4245,Osteoarthritis_(OA)
mAb_1137,!/hgnc_id/HGNC:4245,Pain_chronic
mAb_1138,!/hgnc_id/HGNC:1674,Neuroblastoma
mAb_1138,ganglioside_GD2_(disialoganglioside_GD2),Neuroblastoma
mAb_1139,!/hgnc_id/HGNC:3788,Cancers_prostate_metastatic
mAb_114,!/hgnc_id/HGNC:11529,Cancers_colon
mAb_1140,!/hgnc_id/HGNC:2434,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1140,!/hgnc_id/HGNC:2434,Rheumatoid_arthritis_(RA)
mAb_1141,!/hgnc_id/HGNC:30142,Cachexia
mAb_1142,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1142,!/hgnc_id/HGNC:8760,Cancers_gastrointestinal
mAb_1143,!/hgnc_id/HGNC:3430,Solid_tumors
mAb_1143,!/hgnc_id/HGNC:1674,Solid_tumors
mAb_1144,!/hgnc_id/HGNC:11928,IgA_nephropathy_(IgAN)
mAb_1145,!/hgnc_id/HGNC:17635,
mAb_1146,!/hgnc_id/HGNC:18437,Solid_tumors
mAb_1147,!/vgnc_id/VGNC:41980,Canine_atopic_dermatitis_(AD)
mAb_1148,!/hgnc_id/HGNC:16028,Atopic_dermatitis_(AD)
mAb_1149,!/hgnc_id/HGNC:16028,Chronic_Obstructive_Pulmonary_Disease_(COPD)
mAb_1149,!/hgnc_id/HGNC:16028,Diabetic_nephropathy
mAb_115,!/hgnc_id/HGNC:3788,Cancers_prostate
mAb_1150,!/hgnc_id/HGNC:8021,Solid_tumors
mAb_1151,!/hgnc_id/HGNC:30308,Spinal_cord_injury_acute
mAb_1152,!/hgnc_id/HGNC:1674,Acute_myeloid_leukemia_(AML)
mAb_1152,!/hgnc_id/HGNC:1674,Myelodysplastic_syndromes_(MDS)
mAb_1152,!/hgnc_id/HGNC:1659,Acute_myeloid_leukemia_(AML)
mAb_1152,!/hgnc_id/HGNC:1659,Myelodysplastic_syndromes_(MDS)
mAb_1153,!/hgnc_id/HGNC:8760,Solid_tumors
mAb_1154,!/hgnc_id/HGNC:10256,Cancers_breast
mAb_1154,!/hgnc_id/HGNC:10256,Chronic_lymphocytic_leukemia_(CLL)
mAb_1154,!/hgnc_id/HGNC:10256,Lymphoma_mantle_cell_(MCL)
mAb_1155,!/hgnc_id/HGNC:10256,Chronic_lymphocytic_leukemia_(CLL)
mAb_1155,!/hgnc_id/HGNC:10256,Lymphoma
mAb_1156,!/hgnc_id/HGNC:3688,Non-alcoholic_steatohepatitis_(NASH)
mAb_1157,!/hgnc_id/HGNC:7315,Non-Hodgkins_lymphoma_(NHL)
mAb_1158,!/hgnc_id/HGNC:12680,Diabetic_macular_edema
mAb_1158,!/hgnc_id/HGNC:12680,Age-related_macular_degeneration_(AMD)_neovascular_(wet)
mAb_1158,!/hgnc_id/HGNC:3676,Diabetic_macular_edema
mAb_1158,!/hgnc_id/HGNC:3676,Age-related_macular_degeneration_(AMD)_neovascular_(wet)
mAb_1159,!/hgnc_id/HGNC:17635,Solid_tumors
mAb_1159,!/hgnc_id/HGNC:17635,Cancers_pancreatic
mAb_1159,!/hgnc_id/HGNC:17635,Carcinoma_head_and_neck_squamous_cell_carcinoma_(HNSCC)
mAb_116,!/hgnc_id/HGNC:1817,Cancers_gastric
mAb_116,!/hgnc_id/HGNC:1817,Cancers_colorectal_(CRC)
mAb_1160,p/MH,Solid_tumors
mAb_1161,!/hgnc_id/HGNC:7315,Lymphoma_B_cell
mAb_1161,!/hgnc_id/HGNC:1633,Lymphoma_B_cell
mAb_1162,!/hgnc_id/HGNC:5351,Autoimmune_diseases
mAb_1162,!/hgnc_id/HGNC:5351,Inflammatory_diseases
mAb_1162,!/hgnc_id/HGNC:1653,Autoimmune_diseases
mAb_1162,!/hgnc_id/HGNC:1653,Inflammatory_diseases
mAb_1163,,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1164,!/hgnc_id/HGNC:15620,Graft-versus-host_disease_(GvHD)
mAb_1164,!/hgnc_id/HGNC:15620,Severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection_(COVID-19)
mAb_1164,!/hgnc_id/HGNC:15620,HIV-1_infection_AIDS
mAb_1165,Globo_H,Solid_tumors
mAb_1165,Globo_H,Cancers_pancreatic
mAb_1166,Globo_H,Cancers_gastric
mAb_1166,Globo_H,Solid_tumors
mAb_1166,Globo_H,Cancers_pancreatic
mAb_1167,!/hgnc_id/HGNC:2001,Solid_tumors_advanced_or_metastatic
mAb_1168,!/hgnc_id/HGNC:5981,Psoriasis_moderate_to_severe_plaque
mAb_1169,!/hgnc_id/HGNC:9476,Age-related_macular_degeneration_(AMD)_geographic_atropy_(GA)_(dry_advanced_form)
mAb_117,,Cancers_prostate
mAb_1170,!/hgnc_id/HGNC:2095,Solid_tumors
mAb_1171,!/hgnc_id/HGNC:3430,Solid_tumors
mAb_1171,!/hgnc_id/HGNC:8760,Solid_tumors
