entity,label,family,primary_type,coarse_category,explicit_types,embedding_strategy
HGNC:3791,3791,NumericId,NumericId,NumericId,,categorical
HGNC:399,399,NumericId,NumericId,NumericId,,categorical
HGNC:400,400,NumericId,NumericId,NumericId,,categorical
HGNC:4039,4039,NumericId,NumericId,NumericId,,categorical
HGNC:4046,4046,NumericId,NumericId,NumericId,,categorical
HGNC:4161,4161,NumericId,NumericId,NumericId,,categorical
HGNC:4168,4168,NumericId,NumericId,NumericId,,categorical
HGNC:4216,4216,NumericId,NumericId,NumericId,,categorical
HGNC:4217,4217,NumericId,NumericId,NumericId,,categorical
HGNC:4223,4223,NumericId,NumericId,NumericId,,categorical
HGNC:439,439,NumericId,NumericId,NumericId,,categorical
HGNC:4451,4451,NumericId,NumericId,NumericId,,categorical
HGNC:4462,4462,NumericId,NumericId,NumericId,,categorical
HGNC:4504,4504,NumericId,NumericId,NumericId,,categorical
HGNC:465,465,NumericId,NumericId,NumericId,,categorical
HGNC:4688,4688,NumericId,NumericId,NumericId,,categorical
HGNC:485,485,NumericId,NumericId,NumericId,,categorical
HGNC:4893,4893,NumericId,NumericId,NumericId,,categorical
HGNC:500,500,NumericId,NumericId,NumericId,,categorical
HGNC:5318,5318,NumericId,NumericId,NumericId,,categorical
HGNC:5344,5344,NumericId,NumericId,NumericId,,categorical
HGNC:5351,5351,NumericId,NumericId,NumericId,,categorical
HGNC:5423,5423,NumericId,NumericId,NumericId,,categorical
HGNC:5432,5432,NumericId,NumericId,NumericId,,categorical
HGNC:5433,5433,NumericId,NumericId,NumericId,,categorical
HGNC:5464,5464,NumericId,NumericId,NumericId,,categorical
HGNC:5465,5465,NumericId,NumericId,NumericId,,categorical
HGNC:5466,5466,NumericId,NumericId,NumericId,,categorical
HGNC:5525,5525,NumericId,NumericId,NumericId,,categorical
HGNC:5528,5528,NumericId,NumericId,NumericId,,categorical
HGNC:5713,5713,NumericId,NumericId,NumericId,,categorical
HGNC:5977,5977,NumericId,NumericId,NumericId,,categorical
HGNC:5978,5978,NumericId,NumericId,NumericId,,categorical
HGNC:5981,5981,NumericId,NumericId,NumericId,,categorical
HGNC:5991,5991,NumericId,NumericId,NumericId,,categorical
HGNC:5995,5995,NumericId,NumericId,NumericId,,categorical
HGNC:5999,5999,NumericId,NumericId,NumericId,,categorical
HGNC:6001,6001,NumericId,NumericId,NumericId,,categorical
HGNC:6005,6005,NumericId,NumericId,NumericId,,categorical
HGNC:6006,6006,NumericId,NumericId,NumericId,,categorical
HGNC:6008,6008,NumericId,NumericId,NumericId,,categorical
HGNC:6009,6009,NumericId,NumericId,NumericId,,categorical
HGNC:6010,6010,NumericId,NumericId,NumericId,,categorical
HGNC:6011,6011,NumericId,NumericId,NumericId,,categorical
HGNC:6012,6012,NumericId,NumericId,NumericId,,categorical
HGNC:6014,6014,NumericId,NumericId,NumericId,,categorical
HGNC:6015,6015,NumericId,NumericId,NumericId,,categorical
HGNC:6018,6018,NumericId,NumericId,NumericId,,categorical
HGNC:6019,6019,NumericId,NumericId,NumericId,,categorical
HGNC:6023,6023,NumericId,NumericId,NumericId,,categorical
HGNC:6024,6024,NumericId,NumericId,NumericId,,categorical
HGNC:6025,6025,NumericId,NumericId,NumericId,,categorical
HGNC:6066,6066,NumericId,NumericId,NumericId,,categorical
HGNC:6150,6150,NumericId,NumericId,NumericId,,categorical
HGNC:6307,6307,NumericId,NumericId,NumericId,,categorical
HGNC:6329,6329,NumericId,NumericId,NumericId,,categorical
HGNC:6339,6339,NumericId,NumericId,NumericId,,categorical
HGNC:6342,6342,NumericId,NumericId,NumericId,,categorical
HGNC:6374,6374,NumericId,NumericId,NumericId,,categorical
HGNC:6380,6380,NumericId,NumericId,NumericId,,categorical
HGNC:6476,6476,NumericId,NumericId,NumericId,,categorical
HGNC:6526,6526,NumericId,NumericId,NumericId,,categorical
HGNC:6606,6606,NumericId,NumericId,NumericId,,categorical
HGNC:6666,6666,NumericId,NumericId,NumericId,,categorical
HGNC:6797,6797,NumericId,NumericId,NumericId,,categorical
HGNC:6802,6802,NumericId,NumericId,NumericId,,categorical
HGNC:6902,6902,NumericId,NumericId,NumericId,,categorical
HGNC:7029,7029,NumericId,NumericId,NumericId,,categorical
HGNC:7097,7097,NumericId,NumericId,NumericId,,categorical
HGNC:7176,7176,NumericId,NumericId,NumericId,,categorical
HGNC:7203,7203,NumericId,NumericId,NumericId,,categorical
HGNC:7315,7315,NumericId,NumericId,NumericId,,categorical
HGNC:7371,7371,NumericId,NumericId,NumericId,,categorical
HGNC:7381,7381,NumericId,NumericId,NumericId,,categorical
HGNC:7508,7508,NumericId,NumericId,NumericId,,categorical
HGNC:7515,7515,NumericId,NumericId,NumericId,,categorical
HGNC:7656,7656,NumericId,NumericId,NumericId,,categorical
HGNC:7881,7881,NumericId,NumericId,NumericId,,categorical
HGNC:7882,7882,NumericId,NumericId,NumericId,,categorical
HGNC:7883,7883,NumericId,NumericId,NumericId,,categorical
HGNC:8004,8004,NumericId,NumericId,NumericId,,categorical
HGNC:8021,8021,NumericId,NumericId,NumericId,,categorical
HGNC:8760,8760,NumericId,NumericId,NumericId,,categorical
HGNC:8803,8803,NumericId,NumericId,NumericId,,categorical
HGNC:8893,8893,NumericId,NumericId,NumericId,,categorical
HGNC:905,905,NumericId,NumericId,NumericId,,categorical
HGNC:9446,9446,NumericId,NumericId,NumericId,,categorical
HGNC:9500,9500,NumericId,NumericId,NumericId,,categorical
HGNC:9618,9618,NumericId,NumericId,NumericId,,categorical
HGNC:9662,9662,NumericId,NumericId,NumericId,,categorical
HGNC:9666,9666,NumericId,NumericId,NumericId,,categorical
PM10561017,PM10561017,PM10561017,PM10561017,PM10561017,,text_or_learned
PM10561020,PM10561020,PM10561020,PM10561020,PM10561020,,text_or_learned
PM10716879,PM10716879,PM10716879,PM10716879,PM10716879,,text_or_learned
PM12180486,PM12180486,PM12180486,PM12180486,PM12180486,,text_or_learned
PM12180488,PM12180488,PM12180488,PM12180488,PM12180488,,text_or_learned
