query_idx,mab,study_product,genes,n_specific,n_plausible,model_fraction,prior_fraction,enrichment,n_unmatched,status
46,imgt:mAb_211,imgt:StudyProduct_ImmunoGen_Inc_Cancers_small_cell_lung_(SCLC)_211,NCAM1,18,1,0.0556,0.0906,0.6132,17,scored
47,imgt:mAb_834,imgt:StudyProduct_PharmAbcine_Inc_Glioblastoma_834,KDR,18,12,0.6667,0.5105,1.3059,6,scored
48,imgt:mAb_958,imgt:StudyProduct_AbbVie_Inc_Solid_tumors_advanced_or_metastatic_958,CD276,18,11,0.6111,0.5151,1.1864,7,scored
49,imgt:mAb_1355,imgt:StudyProduct_Roche_F_Hoffmann-La_Roche_Ltd_Cancers_non-small_cell_lung_(NSCLC)_1355,HAVCR2;PDCD1,18,15,0.8333,0.7505,1.1103,3,scored
50,imgt:mAb_1101,imgt:StudyProduct_TCR2_Therapeutics_Inc_Cancers_ovarian_1101,MSLN,18,10,0.5556,0.4465,1.2443,8,scored
51,imgt:mAb_1337,imgt:StudyProduct_Surface_Oncology_Inc_Hepatocellular_carcinoma_(HCC)_1337,IL27,18,11,0.6111,0.5221,1.1704,7,scored
52,imgt:mAb_407,imgt:StudyProduct_Daiichi_Sankyo_Inc_Cancers_non-small_cell_lung_(NSCLC)_407,ERBB3,18,8,0.4444,0.3821,1.1631,10,scored
53,imgt:mAb_176,imgt:StudyProduct_Novartis_Pharmaceuticals_Corp_Multiple_myeloma_(MM)_176,CD40,18,13,0.7222,0.5126,1.4089,5,scored
54,imgt:mAb_1084,imgt:StudyProduct_Xencor_Inc_Solid_tumors_1084,CTLA4;LAG3,18,16,0.8889,0.7375,1.2053,2,scored
55,imgt:mAb_389,imgt:StudyProduct_ImmunoGen_Inc_Multiple_myeloma_(MM)_389,SDC1,18,12,0.6667,0.4914,1.3567,6,scored
56,imgt:mAb_640,imgt:StudyProduct_MacroGenics_Inc_Acute_lymphocytic_leukemia_(ALL)_640,CD19;CD3E,18,14,0.7778,0.605,1.2855,4,scored
