model,trial,seed,lr,batch,neg,gamma,reg,regularizer,init_size,max_epochs,double_neg,valid_tail_mr,test_tail_mr,test_tail_mrr,test_h1,test_h3,test_h10
RotH,trial_015,7057,0.001,1024,64,6.0,1e-05,F2,0.001,200,False,41.26910400390625,56.094276428222656,0.25766292214393616,0.15488214790821075,0.24915824830532074,0.5286195278167725
RotH,trial_016,7058,0.001,512,32,6.0,1e-05,N3,0.005,200,True,29.451828002929688,37.508419036865234,0.3114120662212372,0.19528619945049286,0.3232323229312897,0.5656565427780151
RotH,trial_017,7059,0.0003,1024,64,6.0,1e-06,N3,0.005,200,False,1048.6910400390625,870.8248901367188,0.227498397231102,0.1750841736793518,0.23569023609161377,0.34343433380126953
RotH,trial_018,7060,0.0003,1024,128,6.0,1e-06,F2,0.005,200,True,899.2591552734375,721.919189453125,0.19318290054798126,0.17845118045806885,0.17845118045806885,0.17845118045806885
RotH,trial_019,7061,0.0003,512,64,0.0,1e-06,F2,0.005,200,False,312.60797119140625,285.1515197753906,0.2887025475502014,0.17845118045806885,0.30639731884002686,0.5218855142593384
RotH,trial_020,7062,0.001,512,64,12.0,0.0,N3,0.005,200,True,37.86046600341797,37.9595947265625,0.21641941368579865,0.12794612348079681,0.2053872048854828,0.42424243688583374
RotH,trial_021,7063,0.0003,256,128,6.0,1e-06,N3,0.001,200,False,473.16278076171875,408.11785888671875,0.2796393632888794,0.17845118045806885,0.2760942876338959,0.5319865345954895
RotH,trial_022,7064,0.0003,1024,32,6.0,1e-06,F2,0.001,200,False,838.7608032226562,716.4713745117188,0.2719036340713501,0.17845118045806885,0.2861952781677246,0.5286195278167725
RotH,trial_023,7065,0.001,512,32,6.0,0.0,F2,0.005,200,False,36.245845794677734,53.245792388916016,0.24378196895122528,0.14814814925193787,0.22558923065662384,0.4680134654045105
RotH,trial_024,7066,0.001,1024,32,12.0,1e-06,N3,0.005,200,True,37.53156280517578,39.723907470703125,0.22674021124839783,0.13804714381694794,0.23232322931289673,0.39393940567970276
RotH,trial_025,7067,0.001,1024,32,12.0,1e-05,F2,0.001,200,False,42.72425079345703,75.90235900878906,0.2573833465576172,0.16498316824436188,0.25925925374031067,0.4579124450683594
RotH,trial_026,7068,0.003,256,128,12.0,1e-05,F2,0.001,200,True,35.41196060180664,37.080806732177734,0.21820186078548431,0.12121212482452393,0.20875421166419983,0.44781145453453064
RotH,trial_027,7069,0.0003,1024,128,6.0,1e-06,F2,0.001,200,False,575.0897216796875,430.87542724609375,0.27730751037597656,0.17845118045806885,0.2626262605190277,0.5286195278167725
RotH,trial_028,7070,0.001,1024,32,12.0,1e-06,N3,0.001,200,False,35.8936882019043,44.25589370727539,0.2574346959590912,0.17845118045806885,0.2457912415266037,0.41750842332839966
RotH,trial_029,7071,0.0003,256,32,6.0,1e-05,F2,0.005,200,True,649.126220703125,502.2525329589844,0.27848750352859497,0.17845118045806885,0.2929292917251587,0.5185185074806213
RotH,trial_030,7072,0.001,256,32,12.0,0.0,F2,0.005,200,True,114.68106079101562,102.4612808227539,0.282783180475235,0.18855218589305878,0.26599326729774475,0.5387205481529236
RotH,trial_031,7073,0.0003,512,64,6.0,0.0,N3,0.005,200,False,26.225914001464844,31.8383846282959,0.25422653555870056,0.12457912415266037,0.2861952781677246,0.5218855142593384
RotH,trial_032,7074,0.0003,256,128,6.0,0.0,F2,0.001,200,False,932.8970336914062,743.0269165039062,0.2651808559894562,0.17845118045806885,0.2929292917251587,0.44107744097709656
RotH,trial_033,7075,0.0003,256,128,0.0,0.0,N3,0.001,200,False,26.777408599853516,34.60942840576172,0.2568451464176178,0.13131313025951385,0.2861952781677246,0.5286195278167725
RotH,trial_034,7076,0.003,512,32,12.0,1e-05,N3,0.005,200,False,69.34883880615234,89.58586120605469,0.17808936536312103,0.09090909361839294,0.20875421166419983,0.31313130259513855
RotH,trial_035,7077,0.0003,256,32,6.0,1e-06,N3,0.005,200,True,37.96677780151367,45.44444274902344,0.21933923661708832,0.12457912415266037,0.21212121844291687,0.44781145453453064
RotH,trial_036,7078,0.001,512,32,12.0,1e-05,F2,0.005,200,True,36.900333404541016,41.10437774658203,0.22168317437171936,0.10774410516023636,0.23232322931289673,0.4680134654045105
RotH,trial_037,7079,0.0003,256,64,0.0,1e-05,F2,0.005,200,True,38.634552001953125,32.80134582519531,0.21062825620174408,0.12794612348079681,0.19191919267177582,0.3905723989009857
RotH,trial_038,7080,0.0003,1024,128,12.0,1e-06,F2,0.001,200,False,2300.94677734375,2241.90234375,0.001225528889335692,0.0,0.0,0.0
RotH,trial_039,7081,0.0003,512,128,12.0,1e-06,F2,0.005,200,False,1942.431884765625,1761.693603515625,0.0018558696610853076,0.0,0.0,0.0
RotH,trial_040,7082,0.003,512,32,0.0,0.0,F2,0.005,200,True,35.8936882019043,37.17508316040039,0.23257404565811157,0.13804714381694794,0.23232322931289673,0.43097642064094543
RotH,trial_041,7083,0.003,1024,128,12.0,1e-05,N3,0.005,200,True,38.342193603515625,40.6767692565918,0.19586578011512756,0.11447811126708984,0.20202019810676575,0.3501683473587036
RotH,trial_042,7084,0.003,1024,64,0.0,1e-05,F2,0.005,200,True,50.31893539428711,43.08417510986328,0.1277160942554474,0.047138046473264694,0.11784511804580688,0.3232323229312897
RotH,trial_043,7085,0.003,512,64,6.0,1e-05,N3,0.005,200,False,34.13288879394531,50.66666793823242,0.26186278462409973,0.16161616146564484,0.27272728085517883,0.4680134654045105
RotH,trial_044,7086,0.0003,256,128,0.0,1e-05,F2,0.005,200,True,396.5182800292969,322.791259765625,0.16940273344516754,0.047138046473264694,0.16835017502307892,0.5185185074806213
RotH,trial_045,7087,0.001,512,32,6.0,0.0,F2,0.001,200,True,231.6312255859375,226.91246032714844,0.3012888431549072,0.19528619945049286,0.32996633648872375,0.5286195278167725
RotH,trial_046,7088,0.003,1024,32,0.0,1e-05,F2,0.001,200,True,37.15614700317383,35.93602752685547,0.23923556506633759,0.13804714381694794,0.2390572428703308,0.4579124450683594
RotH,trial_047,7089,0.001,1024,128,12.0,0.0,N3,0.005,200,True,50.225914001464844,54.88215637207031,0.27994826436042786,0.16498316824436188,0.2794612646102905,0.5555555820465088
RotH,trial_048,7090,0.0003,1024,64,6.0,0.0,F2,0.001,200,True,36.6910285949707,36.88215637207031,0.2265472710132599,0.13131313025951385,0.21885521709918976,0.4377104341983795
RotH,trial_049,7091,0.0003,256,64,0.0,1e-05,N3,0.005,200,True,38.98670959472656,33.61616134643555,0.19440411031246185,0.10437710583209991,0.17845118045806885,0.3905723989009857
RotH,trial_050,7092,0.003,512,64,12.0,0.0,F2,0.005,200,True,50.508304595947266,43.47138214111328,0.19046296179294586,0.12121212482452393,0.17845118045806885,0.34343433380126953
RotH,trial_051,7093,0.0003,512,128,6.0,0.0,F2,0.001,200,True,937.0963745117188,701.047119140625,0.19783630967140198,0.17845118045806885,0.17845118045806885,0.20202019810676575
RotH,trial_052,7094,0.001,1024,128,0.0,1e-06,N3,0.005,200,False,70.32890319824219,78.36026763916016,0.2732769250869751,0.16835017502307892,0.2693602740764618,0.5319865345954895
RotH,trial_053,7095,0.001,512,32,6.0,1e-06,F2,0.001,200,False,180.66445922851562,181.0370330810547,0.2835634648799896,0.17171716690063477,0.28956228494644165,0.5218855142593384
RotH,trial_054,7096,0.003,256,64,12.0,1e-06,F2,0.001,200,True,46.68438720703125,56.34343338012695,0.18787992000579834,0.11784511804580688,0.17845118045806885,0.33670035004615784
RotH,trial_055,7097,0.0003,256,64,12.0,1e-06,N3,0.005,200,True,275.3687744140625,249.67340087890625,0.15806140005588531,0.05723905563354492,0.1346801370382309,0.3905723989009857
RotH,trial_056,7098,0.001,1024,32,12.0,1e-05,N3,0.001,200,False,37.50165939331055,48.25925827026367,0.2265349179506302,0.14141413569450378,0.23569023609161377,0.4040403962135315
RotH,trial_057,7099,0.0003,256,128,6.0,1e-06,F2,0.001,200,True,36.62458419799805,35.643096923828125,0.22615297138690948,0.14141413569450378,0.20875421166419983,0.4276094138622284
RotH,trial_058,7100,0.001,256,128,6.0,0.0,N3,0.005,200,True,351.8205871582031,317.9292907714844,0.28444555401802063,0.17845118045806885,0.2996633052825928,0.5319865345954895
RotH,trial_059,7101,0.003,256,128,0.0,0.0,F2,0.001,200,True,35.40531539916992,37.20875549316406,0.2256028652191162,0.12457912415266037,0.21212121844291687,0.4848484992980957
RotH,trial_060,7102,0.0003,1024,32,12.0,1e-05,N3,0.005,200,False,1373.076416015625,1175.7845458984375,0.12475426495075226,0.06734006851911545,0.1515151560306549,0.2222222238779068
RotH,trial_061,7103,0.0003,256,64,6.0,0.0,F2,0.005,200,True,26.634552001953125,44.82154846191406,0.3019047677516937,0.18518517911434174,0.31986531615257263,0.5824915766716003
RotH,trial_062,7104,0.003,256,64,12.0,1e-06,F2,0.005,200,False,33.82059860229492,39.7508430480957,0.2653423547744751,0.16498316824436188,0.26599326729774475,0.4983164966106415
RotH,trial_063,7105,0.003,1024,128,0.0,0.0,F2,0.001,200,True,35.196014404296875,42.62963104248047,0.2214360535144806,0.12457912415266037,0.2053872048854828,0.4680134654045105
RotH,trial_064,7106,0.003,256,32,6.0,1e-05,N3,0.001,200,False,33.900333404541016,41.949493408203125,0.2642090618610382,0.16835017502307892,0.25589224696159363,0.49494948983192444
RotH,trial_065,7107,0.003,1024,64,12.0,0.0,N3,0.005,200,False,50.2923583984375,53.858585357666016,0.27897390723228455,0.1750841736793518,0.3097642958164215,0.4680134654045105
RotH,trial_066,7108,0.0003,512,128,0.0,0.0,F2,0.001,200,False,507.8106384277344,389.7845153808594,0.2883281111717224,0.17845118045806885,0.30639731884002686,0.5050504803657532
RotH,trial_067,7109,0.003,256,32,6.0,0.0,N3,0.001,200,True,48.37873840332031,41.92255783081055,0.2762763798236847,0.15488214790821075,0.30639731884002686,0.5286195278167725
